post_id,influencer_id,post_datetime,content_type,post_format,follower_count,authority_log,verified,account_age_years,early_window_mins,early_likes,early_comments,early_shares,early_total_engagement,early_engagement_velocity,early_comment_share_ratio,persuasive_power_index,reach,impressions,impressions_per_reach,exposure_persistence_hours,reach_growth_rate,algorithmic_amplification_index,very_high_reach,total_likes,total_comments,total_shares,link_clicks,saves,profile_visits,click_through_rate,save_rate,engagement_success_index,low_effort_engagement,high_effort_engagement
1,218,2024-11-06,informational,image,23463,10.06317999126972,0,8.81,60,25,4,0,29,0.4833333333333333,5.0,-0.8091731351778699,10966,12413,1.132,4.98,0.122,-0.4902412330137989,0,25,0,2,0,2,6,0.0,0.000182,0.4424174511426975,25,8
2,729,2024-09-11,promotional,video,17331,9.760252084449375,0,6.51,60,29,5,1,35,0.5833333333333334,3.0,-0.6915649624085917,9966,9966,1.0,7.2,0.088,-0.146071303395673,0,29,6,1,0,1,1,0.0,0.0001,-0.1808657222737059,29,2
3,632,2025-06-02,experiential,image,137249,11.82955207337073,1,5.12,60,69,17,3,89,1.483333333333333,4.5,0.2238244705758731,20173,21530,1.067,5.01,0.093,-0.03796235507396159,0,518,4,1,10,3,5,0.000496,0.000149,1.98684347666719,518,18
4,175,2024-09-22,promotional,video,39210,10.57668709528638,1,10.92,60,121,14,0,135,2.25,15.0,0.3563280144053826,15152,16626,1.097,6.45,0.205,0.0899687228495413,0,121,2,0,1,0,0,6.6e-05,0.0,-0.3980986207717674,121,1
5,23,2025-08-31,informational,video,31810,10.36753598474319,0,3.79,60,64,2,3,69,1.15,0.75,-0.4703553688444609,4212,6476,1.538,8.05,0.087,-0.3984731655201679,0,64,11,0,0,0,1,0.0,0.0,-0.5981622156730401,64,1
6,725,2024-11-27,informational,video,35273,10.47087307773591,1,9.79,60,62,7,2,71,1.183333333333333,2.666666666666667,-0.3102916058456056,4388,7567,1.724,5.57,0.223,-0.7909864685321196,0,62,2,1,0,0,0,0.0,0.0,-0.8079607275578431,62,0
7,235,2025-06-09,experiential,video,253709,12.44394321992859,1,9.77,60,116,3,29,148,2.466666666666667,0.1333333333333333,1.099355431727093,103791,110618,1.066,5.03,0.367,1.258092304574328,1,4717,7,1,1,0,9,1e-05,0.0,0.2988369501239201,4717,10
8,13,2024-03-19,experiential,video,37872,10.54196733175377,0,4.78,60,124,7,12,143,2.383333333333333,0.6153846153846154,0.5951125868296534,41846,55999,1.338,5.95,0.247,0.9068126658546289,0,124,7,0,0,0,0,0.0,0.0,-0.8079607275578431,124,0
9,101,2025-09-09,experiential,image,7220,8.884610231886871,0,7.89,60,22,0,6,28,0.4666666666666667,0.1428571428571428,-0.7457809311536282,4452,11169,2.509,7.47,0.074,-0.1148830814670556,0,22,2,3,0,0,0,0.0,0.0,-0.8079607275578431,22,0
10,536,2025-06-21,promotional,image,31176,10.34740384701854,0,6.09,60,213,4,2,219,3.65,1.666666666666667,0.7035265738465204,4504,7681,1.705,5.91,0.157,-0.6989096412767981,0,213,1,1,1,0,0,0.000222,0.0,-0.3980986207717674,213,1
